"","institutionCode","catalogNumber","order","family","genus","scientificName","sex","recordedBy","recordNumber","eventDate","locality","decimalLatitude","decimalLongitude","verbatimElevationInMeters","DEMElevationInMeters","preparations","habitat","burnStatus","basisOfRecord","recordSource","county","residuals","percentDeviation"
"1","ASU","ASUMAC009004","Rodentia","Cricetidae","Neotoma","Neotoma albigula","m","Upham, Nathan S.; Rowsey, Dakota M.; Rivera, Damien; Zamora Chavez, Luisa J.; Gutierrez, Eduardo; De Leon, Gilma; Mohammadian, Shahrzad; Baez, Justin; Liao, Rosie","NSU0139",2023-07-02,"Santa Catalina Mts., Old Mt. Lemmon Rd. 0.917 km E Green Spring",32.4491689999999,-110.737905,2071,2087.57104719362,"alc | tiss","Madrean Oak Woodland","burned","PRESERVED_SPECIMEN","ASU post-2020",NA,19.0081476265899,19.0973008420073
"2","ASU","ASUVTC002285","Rodentia","Cricetidae","Neotoma","Neotoma albigula","f","Upham, Nathan S.; Rowsey, Dakota M.; Rivera, Damien; Zamora Chavez, Luisa J.; Gutierrez, Eduardo; De Leon, Gilma; Mohammadian, Shahrzad; Baez, Justin","NSU0113",2023-07-01,"Santa Catalina Mts., Old Mt. Lemmon Rd. 0.917 km E Green Spring",32.449136,-110.737852,2064,2087.21029872249,"ear","Madrean Oak Woodland","burned","MATERIAL_SAMPLE","ASU post-2020",NA,25.6064822475495,25.7265833890569
"3","UMMZ","104373","Rodentia","Cricetidae","Neotoma","Neotoma albigula",NA,NA,NA,1931-12-14,"SANTA CATALINA MTS.,MARBLE PK.",32.4703596,-110.7426494,2290.840289,2290.840289,NA,NA,NA,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,3.72212684153937,3.73958459611037
"4","UMMZ","104371","Rodentia","Cricetidae","Neotoma","Neotoma albigula",NA,NA,NA,1931-12-09,"SANTA CATALINA MTS.,MARBLE PK.",32.4703596,-110.7426494,2290.840289,2290.840289,NA,NA,NA,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,3.72212684153937,3.73958459611037
"5","UMMZ","104370","Rodentia","Cricetidae","Neotoma","Neotoma albigula",NA,NA,NA,1931-12-08,"SANTA CATALINA MTS.,MARBLE PK.",32.4703596,-110.7426494,2290.840289,2290.840289,NA,NA,NA,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,3.72212684153937,3.73958459611037
"6","UMMZ","104374","Rodentia","Cricetidae","Neotoma","Neotoma albigula",NA,NA,NA,1931-12-14,"SANTA CATALINA MTS.,MARBLE PK.",32.4703596,-110.7426494,2290.840289,2290.840289,NA,NA,NA,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,3.72212684153937,3.73958459611037
"7","UMMZ","104369","Rodentia","Cricetidae","Neotoma","Neotoma albigula",NA,NA,NA,1931-12-07,"SANTA CATALINA MTS.,MARBLE PK.",32.4703596,-110.7426494,2290.840289,2290.840289,NA,NA,NA,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,3.72212684153937,3.73958459611037
"8","UMMZ","104357","Rodentia","Cricetidae","Neotoma","Neotoma albigula",NA,NA,NA,1931-12-14,"SANTA CATALINA MTS.,MARBLE PK.",32.4703596,-110.7426494,2290.840289,2290.840289,NA,NA,NA,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,3.72212684153937,3.73958459611037
"9","UMMZ","66193","Rodentia","Cricetidae","Peromyscus","Peromyscus maniculatus",NA,"Dice, L.","183",1932-07-16,"10MI SE ORACLE",32.508259,-110.6494475,1264.76769,1264.76769,NA,NA,NA,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,-2.27554716454103,2.28622007967921
"10","iNaturalist","49896298","Lagomorpha","Leporidae","Lepus","Lepus californicus",NA,"Sean Daniels",NA,2018-09-29,NA,32.318632,-110.815679,NA,864.1664775,NA,NA,NA,"HUMAN_OBSERVATION","non-UAZ pre-2021",NA,NA,NA
