Biome,TOTAL_SPP,TOTAL_ANIMALS,Orthoptera,Myriapoda,Coleoptera,Araneae,meyerEtAl_elevation,Site,Latitude,Longitude,Elevation Range (m),elevMin,elevMid,elevMax,Biotic Community,Slope,numSpp_mammalsAll
DS-S,85,687,5,5,31,44,1045 - 1172,SDS,32.31322438,-110.7123025,1146 - 1214,1146,1180,1214,Desertscrub,S,6
GL-N,128,879,15,6,48,59,1330 - 1645,SGN,32.51622,-110.68707,1348 - 1368,1348,1358,1368,Semidesert Grassland,N,8
GL-S,97,734,6,7,35,49,1383.5 - 1532.5,SGS,32.33744,-110.71924,1460 - 1538,1460,1499,1538,Semidesert Grassland,S,5
CH-N,84,403,5,4,35,40,1845 - 1971,ICN,32.50020822,-110.6825961,1315 - 1342,1315,1328.5,1342,Interior Chaparral,N,4
CH-S,36,81,4,6,10,16,1923 - 2052,ICS,32.37734268,-110.6857492,1884 - 1929,1884,1906.5,1929,Interior Chaparral,S,2
PO-N,87,581,4,5,39,39,2032 - 2313,OWN,32.45021099,-110.7373919,2055 - 2095,2055,2075,2095,Oak Woodland,N,5
PO-S,77,544,4,7,27,39,1803 - 2422,OWS,32.39200448,-110.7047277,2096 - 2163,2096,2129.5,2163,Oak Woodland,S,3
P-N,54,487,5,2,25,22,2218 - 2305,CFN,32.45156243,-110.7467846,2195 - 2391,2195,2293,2391,Conifer Forest,N,3
P-S,75,850,3,7,27,38,2224 - 2447,CFS,32.42276744,-110.7317724,2363 - 2431,2363,2397,2431,Conifer Forest,S,5
MC,76,727,4,6,36,30,2541 - 2777,CFP,32.4412,-110.78434,2761 - 2790,2761,2775.5,2790,Conifer Forest,Peak,4
