locality string,country,state,county,latitude,longitude,correction status,precision,error polygon,multiple results,institutioncode,catalognumber,minimumelevationinmeters,scientificname,eventdate
"~15 MI NE TUCSON, SABINO CANYON RD",United States,Arizona,Pima County,,,,,,,WNMU,WNMU:Mamm:1377,,Perognathus amplus,8/10/1961
"0.5 mi NE, 1.5 mi W S. entrance Coronado Nat'l Forest",United States,Arizona,Pima,,,,,,,LSUMZ,10172,,Peromyscus eremicus,10/31/1963
1.75 mi. above Molina,United States,Arizona,Pima,,,,,,,MCZ,61012,,Peromyscus maniculatus sonoriensis,[no verbatim date data]
"17 miles east northeast of Tucson, Molino Canyon",United States,Arizona,Pima,,,,,,,AMNH,M-135963,1158,Bassariscus astutus arizonensis,5/23/1939
"17 miles east northeast of Tucson, Molino Canyon",United States,Arizona,Pima,,,,,,,AMNH,M-135964,1158,Bassariscus astutus arizonensis,5/25/1939
"17 miles east northeast of Tucson, Molino Canyon",United States,Arizona,Pima,,,,,,,AMNH,M-135965,1158,Bassariscus astutus arizonensis,5/26/1940
"17 miles east northeast of Tucson, Molino Canyon",United States,Arizona,Pima,,,,,,,AMNH,M-137031,1158,Procyon lotor mexicanus,5/27/1940
"17 miles east northeast of Tucson, Molino Canyon",United States,Arizona,Pima,,,,,,,AMNH,M-137048,1158,Lynx rufus baileyi,
"17 miles east northeast of Tucson, Molino Canyon",United States,Arizona,Pima,,,,,,,AMNH,M-137005,1158,Tamias,5/25/1940
"17 miles east northeast of Tucson, Molino Canyon",United States,Arizona,Pima,,,,,,,AMNH,M-137006,1158,Tamias,5/25/1940
18 MI NE UNIV OF ARIZONA,United States,Arizona,Pima,,,,,,,FHSM,2001,,Chaetodipus intermedius,1/19/1958
18 MI NE UNIV OF ARIZONA,United States,Arizona,Pima,,,,,,,FHSM,2004,,Chaetodipus baileyi,1/19/1958
"18 miles east northeast of Tucson, Molino Canyon",United States,Arizona,Pima,,,,,,,AMNH,M-135961,1219,Spilogale putorius leucoparia,6/9/1940
"18 miles east northeast of Tucson, Molino Canyon",United States,Arizona,Pima,,,,,,,AMNH,M-135966,1219,Bassariscus astutus arizonensis,6/13/1940
"18 miles east northeast of Tucson, Molino Canyon",United States,Arizona,Pima,,,,,,,AMNH,M-135962,1158,Spilogale putorius leucoparia,5/31/1939
"18 miles east northeast of Tucson, Molino Canyon",United States,Arizona,Pima,,,,,,,AMNH,M-137053,1219,Bassariscus astutus,6/15/1940
"2 miles south of Santa Catalina Mountains, Campbell Avenue",United States,Arizona,Pima,,,,,,,AMNH,M-184200,,Dipodomys merriami merriami,1/6/1957
25 MI ENE TUCSON,United States,Arizona,Pima,,,,,,,HSU,4851,,Myotis velifer,4/18/1957
25 miles east northeast of Tucson,United States,Arizona,Pima,,,,,,,CSULB,2357,,Myotis velifer brevis,4/19/1957
25 miles east northeast of Tucson,United States,Arizona,Pima,,,,,,,CSULB,2359,,Myotis velifer brevis,4/18/1957
25 miles east northeast of Tucson,United States,Arizona,Pima,,,,,,,CSULB,2347,,Myotis velifer brevis,4/18/1957
25 miles east northeast of Tucson,United States,Arizona,Pima,,,,,,,CSULB,2340,,Myotis velifer brevis,4/18/1957
25 miles east northeast of Tucson,United States,Arizona,Pima,,,,,,,CSULB,9904,,Myotis velifer brevis,4/18/1957
25 miles east northeast of Tucson,United States,Arizona,Pima,,,,,,,CSULB,2354,,Myotis velifer brevis,4/24/1957
25 miles east northeast of Tucson,United States,Arizona,Pima,,,,,,,CSULB,2349,,Myotis velifer brevis,4/18/1957
