Museum,Museum Abbreviation,Catalog Number,Special Collections,Kind of Object,Specimen Count,Current Identification,Other Identifications,Name Hierarchy,Order,Family,Type Status,Type Citations,Date Collected,Ocean,Sea/Gulf,Bay/Sound,Island Name,Country,Province/State,District/County,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Collector(s),Other Numbers (Type: Value),Sex/Stage,Preparation Details (Preparation:Remarks),Microhabitat Description,Reproductive Condition,Progeny Details,Measurements,Stomach Contents,Collection Method,Number of Individuals,Sexual Maturity,Physical Maturity,Specimen Condition,Injury,Parasite,Bibliography,Notes,Genetic Sample Type,Biorepository Number,Voucher Number,Bold ID,GenBank Numbers,Preservation Method,Depleted?,Record Last Modified,EZID
,USNM,14556,,Specimen/Lot,1,Ammospermophilus harrisii harrisii,,Ammospermophilus harrisii harrisii : Sciuridae : Rodentia : Mammalia : Chordata,Rodentia,Sciuridae,,,25 May 1884,,,,,United States,Arizona,Pima,"Tucson, 15 mi S",,,,"Nelson, E. W.",Mammals Field Number: 2,Unknown,Skin,,,,,,,,,,,,,,,,,,,,,,6/5/2020 18:14,http://n2t.net/ark:/65665/3c289a7ac-232c-4c0e-a73a-fabdc23d742f
,USNM,36538,Biological Survey Specimen,Specimen/Lot,1,Ammospermophilus harrisii harrisii,,Ammospermophilus harrisii harrisii : Sciuridae : Rodentia : Mammalia : Chordata,Rodentia,Sciuridae,,,31 Oct 1892,,,,,United States,Arizona,Pima,"Tucson, 15 mi S",,,,"Streator, C. P.",Mammals Field Number: 2257; Other Catalog Number: A0048923,Female,Skin; Skull,,,,,,,,,,,,,,,,,,,,,,6/1/2020 19:42,http://n2t.net/ark:/65665/3f6c03395-2144-43bd-8a8a-284ad2990421
,USNM,59231,,Specimen/Lot,1,Ammospermophilus harrisii harrisii,,Ammospermophilus harrisii harrisii : Sciuridae : Rodentia : Mammalia : Chordata,Rodentia,Sciuridae,,,28 Dec 1893,,,,,United States,Arizona,Pima,La Osa,,,,"Mearns; Holzner, F. X.",Mammals Field Number: 2746,Male : Adult,Skin; Skull,,,,,,,,,,,,,,,,,,,,,,5/27/2020 14:20,http://n2t.net/ark:/65665/324cd741f-9932-4c32-aa01-dc84968f4ff7
,USNM,59861,,Specimen/Lot,1,Ammospermophilus harrisii harrisii,,Ammospermophilus harrisii harrisii : Sciuridae : Rodentia : Mammalia : Chordata,Rodentia,Sciuridae,,,31 Jan 1894,,,,,United States,Arizona,Pima,Quitovaquito,,,,"Mearns; Holzner, F. X.",Mammals Field Number: 2876,Female : Adult,Skin; Skull,,,,,,,,,,,,,"Helgen, K. M., et al. Apr 2009 [""2009 Apr""]. Generic revision in the Holarctic ground squirrel genus Spermophilus. Journal of Mammalogy. 90 (2): 270-305.",,,,,,,,,5/27/2020 14:31,http://n2t.net/ark:/65665/31451ff88-ce5e-4823-865c-92bedabca6b0
,USNM,59863,,Specimen/Lot,1,Ammospermophilus harrisii harrisii,,Ammospermophilus harrisii harrisii : Sciuridae : Rodentia : Mammalia : Chordata,Rodentia,Sciuridae,,,6 Feb 1894,,,,,United States,Arizona,Pima,Quitovaquito,,,,"Mearns; Holzner, F. X.",Mammals Field Number: 2935,Male : Adult,Skin; Skull,,,,,,,,,,,,,,,,,,,,,,5/27/2020 14:31,http://n2t.net/ark:/65665/369d67ef3-6858-443d-a53a-3240b0aa4673
,USNM,59862,,Specimen/Lot,1,Ammospermophilus harrisii harrisii,,Ammospermophilus harrisii harrisii : Sciuridae : Rodentia : Mammalia : Chordata,Rodentia,Sciuridae,,,6 Feb 1894,,,,,United States,Arizona,Pima,Quitovaquito,,,,"Mearns, E. A.; Holzner, F. X.",Mammals Field Number: 2936,Female,Skin; Skull,,,,,,,,,,,,,,,,,,,,,,5/27/2020 14:31,http://n2t.net/ark:/65665/3edecdc69-db3f-4265-94a0-4c320b17cd88
,USNM,59864,,Specimen/Lot,1,Ammospermophilus harrisii harrisii,,Ammospermophilus harrisii harrisii : Sciuridae : Rodentia : Mammalia : Chordata,Rodentia,Sciuridae,,,29 Jan 1894,,,,,United States,Arizona,Pima,Quitovaquito,,,,"Mearns; Holzner, F. X.",Mammals Field Number: 2854,Male : Adult,Skin; Skull,,,,,,,,,,,,,,,,,,,,,,5/27/2020 14:31,http://n2t.net/ark:/65665/3fcf3f8c4-d3a8-4cef-ae4f-d99dfcfba41c
,USNM,59865,,Specimen/Lot,1,Ammospermophilus harrisii harrisii,,Ammospermophilus harrisii harrisii : Sciuridae : Rodentia : Mammalia : Chordata,Rodentia,Sciuridae,,,31 Jan 1894,,,,,United States,Arizona,Pima,Quitovaquito,,,,"Mearns; Holzner, F. X.",Mammals Field Number: 2875,Male : Adult,Skin; Skull,,,,,,,,,,,,,,,,,,,,,,5/27/2020 14:31,http://n2t.net/ark:/65665/34a3a25e5-a11b-4183-aeb1-d955d5772423
,USNM,59882,,Specimen/Lot,1,Ammospermophilus harrisii harrisii,,Ammospermophilus harrisii harrisii : Sciuridae : Rodentia : Mammalia : Chordata,Rodentia,Sciuridae,,,26 Jan 1894,,,,,United States,Arizona,Pima,Quitovaquito,,,,"Mearns; Holzner, F. X.",Mammals Field Number: 2837,Female : Adult,Skin; Skull,,,,,,,,,,,,,,,,,,,,,,5/27/2020 14:31,http://n2t.net/ark:/65665/3a890963b-7af3-459b-9501-2612b0874659
,USNM,229510,Biological Survey Specimen,Specimen/Lot,1,Ammospermophilus harrisii harrisii,,Ammospermophilus harrisii harrisii : Sciuridae : Rodentia : Mammalia : Chordata,Rodentia,Sciuridae,,,7/8/1918,,,,,United States,Arizona,Pima,Indian Oasis,,,,"Howell, A. B.",Mammals Field Number: 171,Male,Skin; Skull,,,,,,,,,,,,,,,,,,,,,,4/9/2020 16:23,http://n2t.net/ark:/65665/3d29f7a22-1955-4b89-a039-2e4c55905e34
