gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
919448892,22a66350-7947-4a49-84a3-39c7c1b0881f,urn:catalog:MSU:MR:MR.13262,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Sigmodon,Sigmodon arizonae,cienegae,SUBSPECIES,"Sigmodon hispidus cienegae A.B.Howell, 1919",Sigmodon hispidus cienegae,,US,Oracle,Arizona,PRESENT,,311e2740-f15a-11d8-b22f-b8a03c50a862,32.6108552,-110.7707512,5969,,,,,,1968-04-30T00:00:00,30,4,1968,8894068,2438148,PRESERVED_SPECIMEN,MSU,MR,MR.13262,183,,,CC0_1_0,,Donald F. Switzenberg,,Native,2023-09-06T21:59:17.433Z,,COORDINATE_REPROJECTED
919448493,22a66350-7947-4a49-84a3-39c7c1b0881f,urn:catalog:MSU:MR:MR.33759,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,,,GENUS,"Peromyscus Gloger, 1841",Peromyscus intermedius,,US,"Molino Basin, Coronado National Forest, 22 mi. NE Tuscon",Arizona,PRESENT,,311e2740-f15a-11d8-b22f-b8a03c50a862,32.3356639,-110.6962472,819,,,,,,1961-07-16T00:00:00,16,7,1961,2437961,,PRESERVED_SPECIMEN,MSU,MR,MR.33759,RGT183,,,CC0_1_0,,Robert G. Tuck,,Native,2023-09-06T21:59:17.233Z,,COORDINATE_REPROJECTED;TAXON_MATCH_HIGHERRANK
919443720,22a66350-7947-4a49-84a3-39c7c1b0881f,urn:catalog:MSU:MR:MR.10836,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Sigmodon,Sigmodon hispidus,,SPECIES,"Sigmodon hispidus Say & Ord, 1825",Sigmodon hispidus,,US,Oracle,Arizona,PRESENT,,311e2740-f15a-11d8-b22f-b8a03c50a862,32.6108552,-110.7707512,5969,,,,,,1966-02-15T00:00:00,15,2,1966,2438147,2438147,PRESERVED_SPECIMEN,MSU,MR,MR.10836,87,,,CC0_1_0,,Richard E. Fitzner,,,2023-09-06T21:59:17.083Z,,COORDINATE_REPROJECTED
919443556,22a66350-7947-4a49-84a3-39c7c1b0881f,urn:catalog:MSU:MR:MR.10738,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Sigmodon,Sigmodon arizonae,cienegae,SUBSPECIES,"Sigmodon hispidus cienegae A.B.Howell, 1919",Sigmodon hispidus cienegae,,US,Oracle,Arizona,PRESENT,,311e2740-f15a-11d8-b22f-b8a03c50a862,32.6108552,-110.7707512,5969,,,,,,1966-01-04T00:00:00,4,1,1966,8894068,2438148,PRESERVED_SPECIMEN,MSU,MR,MR.10738,23,,,CC0_1_0,,Richard E. Fitzner,,,2023-09-06T21:59:17.085Z,,COORDINATE_REPROJECTED
919439769,22a66350-7947-4a49-84a3-39c7c1b0881f,urn:catalog:MSU:MR:MR.10693,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Sigmodon,Sigmodon arizonae,cienegae,SUBSPECIES,"Sigmodon hispidus cienegae A.B.Howell, 1919",Sigmodon hispidus cienegae,,US,Oracle,Arizona,PRESENT,,311e2740-f15a-11d8-b22f-b8a03c50a862,32.6108552,-110.7707512,5969,,,,,,1965-01-01T00:00:00,,,1965,8894068,2438148,PRESERVED_SPECIMEN,MSU,MR,MR.10693,463,,,CC0_1_0,,Michael K. Petersen,,,2023-09-06T21:59:17.090Z,,COORDINATE_REPROJECTED
919438863,22a66350-7947-4a49-84a3-39c7c1b0881f,urn:catalog:MSU:MR:MR.33754,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,,,GENUS,"Peromyscus Gloger, 1841",Peromyscus,,US,"Molino Basin, Coronado National Forest, 22 mi. NE Tuscon",Arizona,PRESENT,,311e2740-f15a-11d8-b22f-b8a03c50a862,32.3356639,-110.6962472,819,,,,,,1961-07-16T00:00:00,16,7,1961,2437961,,PRESERVED_SPECIMEN,MSU,MR,MR.33754,RGT185,,,CC0_1_0,,Robert G. Tuck,,Native,2023-09-06T21:59:17.233Z,,COORDINATE_REPROJECTED
919433607,22a66350-7947-4a49-84a3-39c7c1b0881f,urn:catalog:MSU:MR:MR.33758,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,,,GENUS,"Peromyscus Gloger, 1841",Peromyscus intermedius,,US,"Molino Basin, Coronado National Forest, 22 mi. NE Tuscon",Arizona,PRESENT,,311e2740-f15a-11d8-b22f-b8a03c50a862,32.3356639,-110.6962472,819,,,,,,1961-07-14T00:00:00,14,7,1961,2437961,,PRESERVED_SPECIMEN,MSU,MR,MR.33758,RGT181,,,CC0_1_0,,Robert G. Tuck,,Native,2023-09-06T21:59:17.233Z,,COORDINATE_REPROJECTED;TAXON_MATCH_HIGHERRANK
919430991,22a66350-7947-4a49-84a3-39c7c1b0881f,urn:catalog:MSU:MR:MR.10737,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Sigmodon,Sigmodon arizonae,cienegae,SUBSPECIES,"Sigmodon hispidus cienegae A.B.Howell, 1919",Sigmodon hispidus cienegae,,US,Oracle,Arizona,PRESENT,,311e2740-f15a-11d8-b22f-b8a03c50a862,32.6108552,-110.7707512,5969,,,,,,1966-01-04T00:00:00,4,1,1966,8894068,2438148,PRESERVED_SPECIMEN,MSU,MR,MR.10737,22,,,CC0_1_0,,Richard E. Fitzner,,,2023-09-06T21:59:17.086Z,,COORDINATE_REPROJECTED
919430914,22a66350-7947-4a49-84a3-39c7c1b0881f,urn:catalog:MSU:MR:MR.33753,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,,,GENUS,"Peromyscus Gloger, 1841",Peromyscus,,US,"Molino Basin, Coronado National Forest, 22 mi. NE Tuscon",Arizona,PRESENT,,311e2740-f15a-11d8-b22f-b8a03c50a862,32.3356639,-110.6962472,819,,,,,,1961-07-15T00:00:00,15,7,1961,2437961,,PRESERVED_SPECIMEN,MSU,MR,MR.33753,RGT182,,,CC0_1_0,,Robert G. Tuck,,Native,2023-09-06T21:59:17.233Z,,COORDINATE_REPROJECTED
919426503,22a66350-7947-4a49-84a3-39c7c1b0881f,urn:catalog:MSU:MR:MR.13263,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Sigmodon,Sigmodon arizonae,cienegae,SUBSPECIES,"Sigmodon hispidus cienegae A.B.Howell, 1919",Sigmodon hispidus cienegae,,US,Oracle,Arizona,PRESENT,,311e2740-f15a-11d8-b22f-b8a03c50a862,32.6108552,-110.7707512,5969,,,,,,1968-04-30T00:00:00,30,4,1968,8894068,2438148,PRESERVED_SPECIMEN,MSU,MR,MR.13263,184,,,CC0_1_0,,Donald F. Switzenberg,,Native,2023-09-06T21:59:17.433Z,,COORDINATE_REPROJECTED
