Action Needed,institutionCode,catalogNumber,recordNumber,order,family,genus,scientificName,sex,recordedBy,eventDate,locality,decimalLatitude,decimalLongitude,verbatimElevationInMeters,DEMElevationInMeters,basisOfRecord,recordSource,county,residuals,percentDeviation
Extract skull and verify measurements; Nate will extract DNA,ASU,ASUMAC009004,NSU0139,Rodentia,Cricetidae,Neotoma,Neotoma albigula,m,"Upham, Nathan S.; Rowsey, Dakota M.; Rivera, Damien; Zamora Chavez, Luisa J.; Gutierrez, Eduardo; De Leon, Gilma; Mohammadian, Shahrzad; Baez, Justin; Liao, Rosie",7/2/2023,"Santa Catalina Mts., Old Mt. Lemmon Rd. 0.917 km E Green Spring",32.449169,-110.737905,2071,2087.571047,PRESERVED_SPECIMEN,ASU post-2020,NA,12.37687129,16.71892403
See ASUMAC009004 - same individual,ASU,ASUVTC002074,NSU0139,Rodentia,Cricetidae,Neotoma,Neotoma albigula,m,"Upham, Nathan S.; Rowsey, Dakota M.; Rivera, Damien; Zamora Chavez, Luisa J.; Gutierrez, Eduardo; De Leon, Gilma; Mohammadian, Shahrzad; Baez, Justin; Liao, Rosie",7/2/2023,"Santa Catalina Mts., Old Mt. Lemmon Rd. 0.917 km E Green Spring",32.449169,-110.737905,2071,2087.571047,MATERIAL_SAMPLE,ASU post-2020,NA,12.37687129,16.71892403
See ASUMAC009004 - same individual,ASU,ASUVTC002179,NSU0139,Rodentia,Cricetidae,Neotoma,Neotoma albigula,m,"Upham, Nathan S.; Rowsey, Dakota M.; Rivera, Damien; Zamora Chavez, Luisa J.; Gutierrez, Eduardo; De Leon, Gilma; Mohammadian, Shahrzad; Baez, Justin; Liao, Rosie",7/2/2023,"Santa Catalina Mts., Old Mt. Lemmon Rd. 0.917 km E Green Spring",32.449169,-110.737905,2071,2087.571047,MATERIAL_SAMPLE,ASU post-2020,NA,12.37687129,16.71892403
See ASUMAC009004 - same individual,ASU,ASUVTC002180,NSU0139,Rodentia,Cricetidae,Neotoma,Neotoma albigula,m,"Upham, Nathan S.; Rowsey, Dakota M.; Rivera, Damien; Zamora Chavez, Luisa J.; Gutierrez, Eduardo; De Leon, Gilma; Mohammadian, Shahrzad; Baez, Justin; Liao, Rosie",7/2/2023,"Santa Catalina Mts., Old Mt. Lemmon Rd. 0.917 km E Green Spring",32.449169,-110.737905,2071,2087.571047,MATERIAL_SAMPLE,ASU post-2020,NA,12.37687129,16.71892403
Nate will extract DNA,ASU,ASUVTC002285,NSU0113,Rodentia,Cricetidae,Neotoma,Neotoma albigula,f,"Upham, Nathan S.; Rowsey, Dakota M.; Rivera, Damien; Zamora Chavez, Luisa J.; Gutierrez, Eduardo; De Leon, Gilma; Mohammadian, Shahrzad; Baez, Justin",7/1/2023,"Santa Catalina Mts., Old Mt. Lemmon Rd. 0.917 km E Green Spring",32.449136,-110.737852,2064,2087.210299,MATERIAL_SAMPLE,ASU post-2020,NA,19.01353811,25.68386562
See ASUMAC009004 - same individual,ASU,ASUVTC002323,NSU0139,Rodentia,Cricetidae,Neotoma,Neotoma albigula,m,"Upham, Nathan S.; Rowsey, Dakota M.; Rivera, Damien; Zamora Chavez, Luisa J.; Gutierrez, Eduardo; De Leon, Gilma; Mohammadian, Shahrzad; Baez, Justin; Liao, Rosie",7/2/2023,"Santa Catalina Mts., Old Mt. Lemmon Rd. 0.917 km E Green Spring",32.449169,-110.737905,2071,2087.571047,MATERIAL_SAMPLE,ASU post-2020,NA,12.37687129,16.71892403
See ASUMAC009004 - same individual,ASU,ASUVTC002324,NSU0139,Rodentia,Cricetidae,Neotoma,Neotoma albigula,m,"Upham, Nathan S.; Rowsey, Dakota M.; Rivera, Damien; Zamora Chavez, Luisa J.; Gutierrez, Eduardo; De Leon, Gilma; Mohammadian, Shahrzad; Baez, Justin; Liao, Rosie",7/2/2023,"Santa Catalina Mts., Old Mt. Lemmon Rd. 0.917 km E Green Spring",32.449169,-110.737905,2071,2087.571047,MATERIAL_SAMPLE,ASU post-2020,NA,12.37687129,16.71892403
See ASUMAC009004 - same individual,ASU,ASUVTC002335,NSU0139,Rodentia,Cricetidae,Neotoma,Neotoma albigula,m,"Upham, Nathan S.; Rowsey, Dakota M.; Rivera, Damien; Zamora Chavez, Luisa J.; Gutierrez, Eduardo; De Leon, Gilma; Mohammadian, Shahrzad; Baez, Justin; Liao, Rosie",7/2/2023,"Santa Catalina Mts., Old Mt. Lemmon Rd. 0.917 km E Green Spring",32.449169,-110.737905,2071,2087.571047,MATERIAL_SAMPLE,ASU post-2020,NA,12.37687129,16.71892403
See ASUMAC009004 - same individual,ASU,ASUVTC002336,NSU0139,Rodentia,Cricetidae,Neotoma,Neotoma albigula,m,"Upham, Nathan S.; Rowsey, Dakota M.; Rivera, Damien; Zamora Chavez, Luisa J.; Gutierrez, Eduardo; De Leon, Gilma; Mohammadian, Shahrzad; Baez, Justin; Liao, Rosie",7/2/2023,"Santa Catalina Mts., Old Mt. Lemmon Rd. 0.917 km E Green Spring",32.449169,-110.737905,2071,2087.571047,MATERIAL_SAMPLE,ASU post-2020,NA,12.37687129,16.71892403
See ASUMAC009004 - same individual,ASU,ASUVTC002337,NSU0139,Rodentia,Cricetidae,Neotoma,Neotoma albigula,m,"Upham, Nathan S.; Rowsey, Dakota M.; Rivera, Damien; Zamora Chavez, Luisa J.; Gutierrez, Eduardo; De Leon, Gilma; Mohammadian, Shahrzad; Baez, Justin; Liao, Rosie",7/2/2023,"Santa Catalina Mts., Old Mt. Lemmon Rd. 0.917 km E Green Spring",32.449169,-110.737905,2071,2087.571047,MATERIAL_SAMPLE,ASU post-2020,NA,12.37687129,16.71892403
See ASUMAC009004 - same individual,ASU,ASUVTC002338,NSU0139,Rodentia,Cricetidae,Neotoma,Neotoma albigula,m,"Upham, Nathan S.; Rowsey, Dakota M.; Rivera, Damien; Zamora Chavez, Luisa J.; Gutierrez, Eduardo; De Leon, Gilma; Mohammadian, Shahrzad; Baez, Justin; Liao, Rosie",7/2/2023,"Santa Catalina Mts., Old Mt. Lemmon Rd. 0.917 km E Green Spring",32.449169,-110.737905,2071,2087.571047,MATERIAL_SAMPLE,ASU post-2020,NA,12.37687129,16.71892403
See ASUMAC009004 - same individual,ASU,ASUVTC002339,NSU0139,Rodentia,Cricetidae,Neotoma,Neotoma albigula,m,"Upham, Nathan S.; Rowsey, Dakota M.; Rivera, Damien; Zamora Chavez, Luisa J.; Gutierrez, Eduardo; De Leon, Gilma; Mohammadian, Shahrzad; Baez, Justin; Liao, Rosie",7/2/2023,"Santa Catalina Mts., Old Mt. Lemmon Rd. 0.917 km E Green Spring",32.449169,-110.737905,2071,2087.571047,MATERIAL_SAMPLE,ASU post-2020,NA,12.37687129,16.71892403
See ASUMAC009004 - same individual,ASU,ASUVTC002341,NSU0139,Rodentia,Cricetidae,Neotoma,Neotoma albigula,m,"Upham, Nathan S.; Rowsey, Dakota M.; Rivera, Damien; Zamora Chavez, Luisa J.; Gutierrez, Eduardo; De Leon, Gilma; Mohammadian, Shahrzad; Baez, Justin; Liao, Rosie",7/2/2023,"Santa Catalina Mts., Old Mt. Lemmon Rd. 0.917 km E Green Spring",32.449169,-110.737905,2071,2087.571047,MATERIAL_SAMPLE,ASU post-2020,NA,12.37687129,16.71892403
Verify ID - probably Neotoma mexicana?,CUMV,15088,GM? B 8,Rodentia,Cricetidae,Neotoma,Neotoma albigula,NA,Bradt,10/10/1940,"Tucson, S Slope Santa Catalina Mountains",32.413471,-110.743859,2410.489871,2410.489871,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,-4.068820868,5.496244192
Check field notes and/or specimen tags for more detailed locality info,FMNH,52819,WHO-7328,Rodentia,Cricetidae,Neotoma,Neotoma albigula,NA,W. H. Osgood,1/26/1942,Santa Catalina Mts,32.430378,-110.705345,2027.826685,2027.826685,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,-4.210117442,5.687110417
Check field notes and/or specimen tags for more detailed locality info,FMNH,52820,WHO-7329,Rodentia,Cricetidae,Neotoma,Neotoma albigula,NA,W. H. Osgood,1/26/1942,Santa Catalina Mts,32.430378,-110.705345,2027.826685,2027.826685,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,-4.210117442,5.687110417
Check field notes and/or specimen tags for more detailed locality info,FMNH,52821,WHO-7351,Rodentia,Cricetidae,Neotoma,Neotoma albigula,NA,W. H. Osgood,1/30/1942,Santa Catalina Mts,32.430378,-110.705345,2027.826685,2027.826685,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,-4.210117442,5.687110417
Check field notes and/or specimen tags for more detailed locality info,FMNH,52809,WHO-7333,Rodentia,Cricetidae,Onychomys,Onychomys torridus,NA,W. H. Osgood,1/27/1942,Santa Catalina Mts,32.430378,-110.705345,2027.826685,2027.826685,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,-4.210117442,5.687110417
Check field notes and/or specimen tags for more detailed locality info,FMNH,52810,WHO-7342,Rodentia,Cricetidae,Onychomys,Onychomys torridus,NA,W. H. Osgood,1/29/1942,Santa Catalina Mts,32.430378,-110.705345,2027.826685,2027.826685,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,-4.210117442,5.687110417
Check field notes and/or specimen tags for more detailed locality info,FMNH,52844,WHO-7347,Rodentia,Cricetidae,Peromyscus,Peromyscus eremicus,NA,W. H. Osgood,1/30/1942,Santa Catalina Mts,32.430378,-110.705345,2027.826685,2027.826685,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,-4.210117442,5.687110417
Check field notes and/or specimen tags for more detailed locality info,FMNH,52845,WHO-7348,Rodentia,Cricetidae,Peromyscus,Peromyscus eremicus,NA,W. H. Osgood,1/30/1942,Santa Catalina Mts,32.430378,-110.705345,2027.826685,2027.826685,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,-4.210117442,5.687110417
Check field notes and/or specimen tags for more detailed locality info,FMNH,52846,WHO-7349,Rodentia,Cricetidae,Peromyscus,Peromyscus eremicus,NA,W. H. Osgood,1/30/1942,Santa Catalina Mts,32.430378,-110.705345,2027.826685,2027.826685,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,-4.210117442,5.687110417
Check field notes and/or specimen tags for more detailed locality info,FMNH,52847,WHO-7350,Rodentia,Cricetidae,Peromyscus,Peromyscus eremicus,NA,W. H. Osgood,1/30/1942,Santa Catalina Mts,32.430378,-110.705345,2027.826685,2027.826685,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,-4.210117442,5.687110417
Check field notes and/or specimen tags for more detailed locality info,FMNH,52831,WHO-7318,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus baileyi,NA,W. H. Osgood,1/25/1942,Santa Catalina Mts,32.430378,-110.705345,2027.826685,2027.826685,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,-4.210117442,5.687110417
Check field notes and/or specimen tags for more detailed locality info,FMNH,52832,WHO-7319,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus baileyi,NA,W. H. Osgood,1/25/1942,Santa Catalina Mts,32.430378,-110.705345,2027.826685,2027.826685,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,-4.210117442,5.687110417
Check field notes and/or specimen tags for more detailed locality info,FMNH,52833,WHO-7320,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus baileyi,NA,W. H. Osgood,1/25/1942,Santa Catalina Mts,32.430378,-110.705345,2027.826685,2027.826685,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,-4.210117442,5.687110417
Check field notes and/or specimen tags for more detailed locality info,FMNH,52834,WHO-7321,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus baileyi,NA,W. H. Osgood,1/25/1942,Santa Catalina Mts,32.430378,-110.705345,2027.826685,2027.826685,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,-4.210117442,5.687110417
Check field notes and/or specimen tags for more detailed locality info,FMNH,52835,WHO-7322,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus baileyi,NA,W. H. Osgood,1/25/1942,Santa Catalina Mts,32.430378,-110.705345,2027.826685,2027.826685,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,-4.210117442,5.687110417
Check field notes and/or specimen tags for more detailed locality info,FMNH,52836,WHO-7325,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus baileyi,NA,W. H. Osgood,1/26/1942,Santa Catalina Mts,32.430378,-110.705345,2027.826685,2027.826685,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,-4.210117442,5.687110417
Check field notes and/or specimen tags for more detailed locality info,FMNH,52837,WHO-7326,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus baileyi,NA,W. H. Osgood,1/26/1942,Santa Catalina Mts,32.430378,-110.705345,2027.826685,2027.826685,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,-4.210117442,5.687110417
Check field notes and/or specimen tags for more detailed locality info,FMNH,52838,WHO-7334,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus baileyi,NA,W. H. Osgood,1/27/1942,Santa Catalina Mts,32.430378,-110.705345,2027.826685,2027.826685,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,-4.210117442,5.687110417
Check field notes and/or specimen tags for more detailed locality info,FMNH,52839,WHO-7335,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus baileyi,NA,W. H. Osgood,1/27/1942,Santa Catalina Mts,32.430378,-110.705345,2027.826685,2027.826685,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,-4.210117442,5.687110417
Check field notes and/or specimen tags for more detailed locality info,FMNH,52840,WHO-7336,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus baileyi,NA,W. H. Osgood,1/27/1942,Santa Catalina Mts,32.430378,-110.705345,2027.826685,2027.826685,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,-4.210117442,5.687110417
Check field notes and/or specimen tags for more detailed locality info,FMNH,52841,WHO-7345,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus baileyi,NA,W. H. Osgood,1/30/1942,Santa Catalina Mts,32.430378,-110.705345,2027.826685,2027.826685,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,-4.210117442,5.687110417
Check field notes and/or specimen tags for more detailed locality info,FMNH,52842,WHO-7346,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus baileyi,NA,W. H. Osgood,1/30/1942,Santa Catalina Mts,32.430378,-110.705345,2027.826685,2027.826685,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,-4.210117442,5.687110417
Check field notes and/or specimen tags for more detailed locality info,FMNH,52843,WHO-7352,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus baileyi,NA,W. H. Osgood,2/1/1942,Santa Catalina Mts,32.430378,-110.705345,2027.826685,2027.826685,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,-4.210117442,5.687110417
Check field notes and/or specimen tags for more detailed locality info,FMNH,52857,WHO-7340,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus baileyi,NA,W. H. Osgood,1/28/1942,Santa Catalina Mts,32.430378,-110.705345,2027.826685,2027.826685,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,-4.210117442,5.687110417
Check field notes and/or specimen tags for more detailed locality info,FMNH,52858,WHO-7344,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus baileyi,NA,W. H. Osgood,1/29/1942,Santa Catalina Mts,32.430378,-110.705345,2027.826685,2027.826685,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,-4.210117442,5.687110417
Check field notes and/or specimen tags for more detailed locality info,FMNH,52811,WHO-7331,Rodentia,Sciuridae,Ammospermophilus,Ammospermophilus harrisii,NA,W. H. Osgood,1/26/1942,Santa Catalina Mts,32.430378,-110.705345,2027.826685,2027.826685,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,-4.210117442,5.687110417
Check field notes and/or specimen tags for more detailed locality info,FMNH,52812,WHO-7337,Rodentia,Sciuridae,Ammospermophilus,Ammospermophilus harrisii,NA,W. H. Osgood,1/28/1942,Santa Catalina Mts,32.430378,-110.705345,2027.826685,2027.826685,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,-4.210117442,5.687110417
Probably OK,iNaturalist,2305114,NA,Rodentia,Sciuridae,Otospermophilus,Otospermophilus variegatus,NA,Alan Dahl,4/25/2015,NA,32.404556,-110.925734,930.0263762,930.0263762,HUMAN_OBSERVATION,non-UAZ pre-2021,NA,-4.615475023,6.234675503
Probably OK,iNaturalist,9950218,NA,Rodentia,Sciuridae,Otospermophilus,Otospermophilus variegatus,NA,Kevin Fistanic,2/17/2018,NA,32.323606,-110.807805,855.0575931,855.0575931,HUMAN_OBSERVATION,non-UAZ pre-2021,NA,-4.643156892,6.272068722
Probably OK,iNaturalist,30461689,NA,Rodentia,Sciuridae,Otospermophilus,Otospermophilus variegatus,NA,roomthily,8/8/2019,NA,32.321707,-110.809009,866.8208795,866.8208795,HUMAN_OBSERVATION,non-UAZ pre-2021,NA,-4.638813354,6.266201385
Probably OK,iNaturalist,33126673,NA,Rodentia,Sciuridae,Otospermophilus,Otospermophilus variegatus,NA,James Maughn,9/20/2019,NA,32.327361,-110.801884,882.5908022,882.5908022,HUMAN_OBSERVATION,non-UAZ pre-2021,NA,-4.632990384,6.258335602
Probably OK,iNaturalist,60680041,NA,Rodentia,Sciuridae,Otospermophilus,Otospermophilus variegatus,NA,roomthily,9/24/2020,NA,32.323958,-110.77554,987.0087428,987.0087428,HUMAN_OBSERVATION,non-UAZ pre-2021,NA,-4.594434553,6.206253617
Probably OK,iNaturalist,63497829,NA,Rodentia,Sciuridae,Otospermophilus,Otospermophilus variegatus,NA,Gerrit Öhm,9/13/2008,NA,32.300216,-110.845747,871.4211999,871.4211999,HUMAN_OBSERVATION,non-UAZ pre-2021,NA,-4.637114707,6.263906819
Probably OK,KU,51756,NA,Chiroptera,Vespertilionidae,Parastrellus,Parastrellus hesperus,NA,HEINRICH G H,12/15/1952,MOLINO BASIN; S SLOPE OF SANTA CATALINA MTS,32.3356639,-110.6962472,NA,1331.552296,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,NA,NA
Verify coordinates - coordinates are north of upper sabino canyon,LSUMZ,10126,NA,Chiroptera,Vespertilionidae,Parastrellus,Parastrellus hesperus,NA,Dewell,5/28/1964,"Santa Catalina Mts., Upper Sabino Canyon",32.416061,-110.78445,NA,2184.857197,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,NA,NA
Verify coordinates - coordinates are north of upper sabino canyon,LSUMZ,10127,NA,Chiroptera,Vespertilionidae,Parastrellus,Parastrellus hesperus,NA,Dewell,5/28/1964,"Santa Catalina Mts., Upper Sabino Canyon",32.416061,-110.78445,NA,2184.857197,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,NA,NA
Any more information about locality somewhere?,MCZ,6481,NA,Carnivora,Mephitidae,Spilogale,Spilogale putorius,NA,William E. D. Scott,1884-10-05,Santa Catalina Mountains,32.44401,-110.78601,NA,2720.077405,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,NA,NA
Verify ID - probably Sylvilagus audubonii?,MMNH,6923,NA,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus floridanus,NA,"HAYWARD, B J",6/10/1958,"20 MI NE U OF AZ (TUCSON), MOLINA BASIN, CATALINA MTS.",32.3356639,-110.6962472,NA,1331.552296,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,NA,NA
Any more information about locality somewhere?,MSB,MSB:Mamm:174991,730,Rodentia,Cricetidae,Peromyscus,Peromyscus maniculatus,NA,Collector(s): David J. Schmidly,11/11/1966,Santa Catalina Mountains,32.43035,-110.70537,2029.321434,2029.321434,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,-4.209565513,5.68636486
Any more information about locality somewhere?,MSB,MSB:Mamm:179069,719,Rodentia,Cricetidae,Reithrodontomys,Reithrodontomys megalotis,NA,Collector(s): Victor E. Diersing,6/9/1973,6 mi SSE Oracle,32.5305,-110.7316,1599.984003,1599.984003,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,-4.368096332,5.900511445
Any more information about locality somewhere?,MSB,MSB:Mamm:64732,NA,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus penicillatus,NA,Collector(s): Robert DeWitt Ivey,4/1/1980,"10 MI N, 3 MI E OF TUCSON",32.3668619,-110.8750518,2101.559291,2101.559291,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,-4.182892026,5.650333782
Any more information about locality somewhere?,MSB,MSB:Mamm:64733,NA,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus penicillatus,NA,Collector(s): Robert DeWitt Ivey,4/1/1980,"10 MI N, 3 MI E OF TUCSON",32.3668619,-110.8750518,2101.559291,2101.559291,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,-4.182892026,5.650333782
Confirm georeferencing means - locality does not seem to be in Bear Canyon. Possible locality was Bear Wallow?,ROM,30221,3157,Rodentia,Cricetidae,Neotoma,Neotoma mexicana,NA,"Munro, JA",2/6/1953,"Santa Catalina Mountains, Bear Canyon",32.3477633,-110.7373483,1437.33365,1437.33365,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,-4.428154207,5.981638818
Confirm georeferencing means - locality does not seem to be in Bear Canyon. Possible locality was Bear Wallow?,ROM,30222,3187,Rodentia,Cricetidae,Neotoma,Neotoma mexicana,NA,"Munro, JA",2/20/1953,"Santa Catalina Mountains, Bear Canyon",32.3477633,-110.7373483,1437.33365,1437.33365,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,-4.428154207,5.981638818
Verify locality and coordinates - Hwy 77 is north of Oracle,ROM,28932,2193,Rodentia,Cricetidae,Peromyscus,Peromyscus maniculatus,NA,"Munro, JA",1/29/1951,"7.5 mi SW of Oracle, Highway 77",32.6,-110.766667,1428.000001,1428.000001,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,-4.431600613,5.986294291
Verify locality and coordinates - Hwy 77 is north of Oracle,ROM,28933,2194,Rodentia,Cricetidae,Peromyscus,Peromyscus maniculatus,NA,"Munro, JA",1/29/1951,"7.5 mi SW of Oracle, Highway 77",32.6,-110.766667,1428.000001,1428.000001,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,-4.431600613,5.986294291
Verify georeferenced coordinates - where is Virginia Mine?,UAZ,UAZ 03820,NA,Chiroptera,Molossidae,Tadarida,Tadarida brasiliensis,NA,R.A. Flock,3/10/1940,"Santa Catalina Mts., Virginia Mine, 5000 ft.",32.43028,-110.70472,1524,2032,PRESERVED_SPECIMEN,UAZ,Pima,503.6038469,680.2780975
Verify georeferenced coordinates - where is Virginia Mine?,UAZ,UAZ 03767,NA,Chiroptera,Phyllostomidae,Macrotus,Macrotus californicus,M,R.A.F.,3/10/1940,"Santa Catalina Mtns., Virginia Mine",32.43028,-110.70472,NA,2032,PRESERVED_SPECIMEN,UAZ,Pima,NA,NA
Confirm ID - abnormally low elevation for species,UAZ,UAZ 10839,44,Chiroptera,Vespertilionidae,Myotis,Myotis auriculus,F,T.R. Darden,5/28/1964,"Upper Sabino Canyon, Santa Catalina Mtns., 3200 ft.",32.322298,-110.809812,975.36,881,PRESERVED_SPECIMEN,UAZ,Pima,-98.9587358,133.6754295
Confirm ID - abnormally low elevation for species,UAZ,UAZ 11562,160,Chiroptera,Vespertilionidae,Myotis,Myotis auriculus,F,E.H. Studier,6/9/1964,"Upper Sabino Canyon, Santa Catalina Mts. (ca. 3000 ft.)",32.322298,-110.809812,914.4,881,PRESERVED_SPECIMEN,UAZ,Pima,-38.02124499,51.3598543
Verify coordinates - Accidentally referenced to middle Bear Canyon?,UAZ,UAZ 02410,273,Chiroptera,Vespertilionidae,Parastrellus,Parastrellus hesperus,M,S. Cross,3/16/1962,"Lower Bear Canyon Picnic Grounds, Santa Catalina Mts.",32.37444,-110.69,NA,1804,PRESERVED_SPECIMEN,UAZ,Pima,NA,NA
Verify coordinates - Accidentally referenced to middle Bear Canyon?,UAZ,UAZ 02411,274,Chiroptera,Vespertilionidae,Parastrellus,Parastrellus hesperus,F,S. Cross,3/16/1962,"Lower Bear Canyon Picnic Grounds, Santa Catalina Mts.",32.37444,-110.69,NA,1804,PRESERVED_SPECIMEN,UAZ,Pima,NA,NA
Verify coordinates - Accidentally referenced to middle Bear Canyon?,UAZ,UAZ 02412,275,Chiroptera,Vespertilionidae,Parastrellus,Parastrellus hesperus,M,S. Cross,3/26/1962,"Lower Bear Canyon Picnic Grounds, Santa Catalina Mts.",32.37444,-110.69,NA,1804,PRESERVED_SPECIMEN,UAZ,Pima,NA,NA
"Confirm ID - everything else seems right, may just be a slightly higher elevational record.",UAZ,UAZ 02420,267,Chiroptera,Vespertilionidae,Parastrellus,Parastrellus hesperus,M,S. Cross,2/2/1962,"1.3 mi. E Campbell Ave. on Skyline then 2 mi. N, Tucson, Santa Catalina foothills",32.351841,-110.906382,NA,1284,PRESERVED_SPECIMEN,UAZ,Pima,NA,NA
"Confirm ID - everything else seems right, may just be a slightly higher elevational record.",UAZ,UAZ 07860,BJH 1419,Chiroptera,Vespertilionidae,Parastrellus,Parastrellus hesperus,M,Bruce Hayward,9/24/1960,"Catalina Mtns., Upper Molino Basin, elev. 4000'",32.33556,-110.69583,1219.2,1333,PRESERVED_SPECIMEN,UAZ,Pima,109.291301,147.6328641
