"","institutionCode","catalogNumber","order","family","genus","scientificName","sex","recordedBy","recordNumber","eventDate","locality","decimalLatitude","decimalLongitude","verbatimElevationInMeters","DEMElevationInMeters","preparations","habitat","burnStatus","basisOfRecord","recordSource","site","county","residuals","percentDeviation"
"1","ASU","ASUMAC008614","Rodentia","Heteromyidae","Chaetodipus","Chaetodipus baileyi","f","Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.","DMR0051",2021-11-20,"Santa Catalina Mts., Stratton Canyon SE intersection with Old Mt. Lemmon Hwy",32.5001439999999,-110.681863,1322,1322.40879057988,"alc | tiss","Interior Chaparral","unburned","PRESERVED_SPECIMEN","ASU post-2020","ICN",NA,-1.53221813369246,1.53940464002768
"2","ASU","ASUMAC008637","Rodentia","Heteromyidae","Chaetodipus","Chaetodipus baileyi","m","Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.","DMR0052",2021-11-20,"Santa Catalina Mts., Stratton Canyon SE intersection with Old Mt. Lemmon Hwy",32.499198,-110.681755,1318,1314.71292893454,"alc | tiss","Interior Chaparral","unburned","PRESERVED_SPECIMEN","ASU post-2020","ICN",NA,-5.25146086920585,5.2760916028957
"3","ASU","ASUMAC008644","Rodentia","Cricetidae","Peromyscus","Peromyscus boylii","f","Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.","DMR0053",2021-11-20,"Santa Catalina Mts., Stratton Canyon SE intersection with Old Mt. Lemmon Hwy",32.500329,-110.681778,1318,1325.02390841926,"alc | tiss","Interior Chaparral","unburned","PRESERVED_SPECIMEN","ASU post-2020","ICN",NA,5.05951861559352,5.08324908959367
"4","ASU","ASUMAC008645","Rodentia","Cricetidae","Peromyscus","Peromyscus boylii","m","Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.","DMR0054",2021-11-20,"Santa Catalina Mts., Stratton Canyon SE intersection with Old Mt. Lemmon Hwy",32.5003719999999,-110.681731,1311,1326.16975958489,"alc | tiss","Interior Chaparral","unburned","PRESERVED_SPECIMEN","ASU post-2020","ICN",NA,13.1644528733133,13.2261976222453
"5","ASU","ASUMAC008606","Rodentia","Heteromyidae","Chaetodipus","Chaetodipus baileyi","m","Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.","DMR0055",2021-11-21,"Santa Catalina Mts., Stratton Canyon SE intersection with Old Mt. Lemmon Hwy",32.5002169999999,-110.68151,1281,1326.34819703537,"alc | tiss","Interior Chaparral","unburned","PRESERVED_SPECIMEN","ASU post-2020","ICN",NA,43.1675321470349,43.3699992347355
"6","ASU","ASUMAC008646","Rodentia","Cricetidae","Peromyscus","Peromyscus boylii","f","Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.","DMR0056",2021-11-21,"Santa Catalina Mts., Stratton Canyon NW immediately NW intersection with Old Mt. Lemmon Hwy",32.5014779999999,-110.682596,1318,1332.81393109448,"alc | tiss","Interior Chaparral","unburned","PRESERVED_SPECIMEN","ASU post-2020","ICN",NA,12.8495412908137,12.9098090215372
"7","ASU","ASUMAC008619","Rodentia","Cricetidae","Peromyscus","Peromyscus boylii","f","Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.","DMR0066",2021-11-21,"Santa Catalina Mts., Stratton Canyon at intersection with Old Mt. Lemmon Hwy, deciduous woodland along W bank of wash N of road",32.5018469999999,-110.68314,1326,1337.3835133932,"alc | tiss","Interior Chaparral","unburned","PRESERVED_SPECIMEN","ASU post-2020","ICN",NA,9.46588577000258,9.51028326573688
"8","ASU","ASUMAC009012","Rodentia","Sciuridae","Neotamias","Neotamias dorsalis","m","Rowsey, Dakota M.; Zamora Chavez, Luisa J.; Rivera, Damien; Jones, Matthew F.; Mohammadian, Shahrzad","DMR0218",2023-07-08,"Santa Catalina Mts., Manzanita Vista",32.3721729999999,-110.703122,1891,1902.15313415028,"alc | tiss","Interior Chaparral","unburned","PRESERVED_SPECIMEN","ASU post-2020","ICS",NA,12.5380855226995,12.5968924438937
"9","ASU","ASUMAC009013","Rodentia","Cricetidae","Peromyscus","Peromyscus boylii","m","Rowsey, Dakota M.; Zamora Chavez, Luisa J.; Rivera, Damien; Jones, Matthew F.; Mohammadian, Shahrzad","DMR0219",2023-07-08,"Santa Catalina Mts., Manzanita Vista",32.3728509999999,-110.701184,1896,1911.01356532809,"alc | tiss","Interior Chaparral","unburned","PRESERVED_SPECIMEN","ASU post-2020","ICS",NA,16.4277430633025,16.5047935021414
"10","ASU","ASUMAC009014","Rodentia","Cricetidae","Peromyscus","Peromyscus boylii","f","Rowsey, Dakota M.; Zamora Chavez, Luisa J.; Rivera, Damien; Jones, Matthew F.; Mohammadian, Shahrzad","DMR0220",2023-07-08,"Santa Catalina Mts., Manzanita Vista",32.372531,-110.702724,1920,1911.56361787716,"alc | tiss","Interior Chaparral","unburned","PRESERVED_SPECIMEN","ASU post-2020","ICS",NA,-6.88191784622084,6.9141958522781
"11","ASU","ASUMAC009015","Rodentia","Cricetidae","Peromyscus","Peromyscus boylii","m","Rowsey, Dakota M.; Zamora Chavez, Luisa J.; Rivera, Damien; Jones, Matthew F.; Mohammadian, Shahrzad","DMR0221",2023-07-08,"Santa Catalina Mts., Manzanita Vista",32.3731099999999,-110.701633,1912,1928.12430868235,"alc | tiss","Interior Chaparral","unburned","PRESERVED_SPECIMEN","ASU post-2020","ICS",NA,17.6320107785003,17.7147095498933
"12","ASU","ASUMAC008923","Rodentia","Cricetidae","Peromyscus","Peromyscus boylii","m","Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.; Zamora Chavez, Luisa; Vidaure, Michael; Gilbert, Edward; Gilbert Kleker, Aven; Luedke, Kory; Walker, Lindsay; Pearson, Katie; Post, Greg","DMR0115",2022-05-13,"Santa Catalina Mts., Rose Canyon Campground, NW (Downstream) of Rose Canyon Dam",32.3877829999999,-110.712097,2096,2121.2476487489,"skin | skull | skel | tiss","Madrean Oak Woodland","unburned","PRESERVED_SPECIMEN","ASU post-2020","OWS",NA,27.8308809958351,27.961415152946
