UAZ_NUMBER,DEMElevationInMeters
UAZ 00238,881
UAZ 00459,2742
UAZ 00660,847
UAZ 00661,847
UAZ 00662,847
UAZ 01015,2194
UAZ 01020,2406
UAZ 01059,900
UAZ 01065,953
UAZ 01068,900
UAZ 01103,1833
UAZ 01147,1196
UAZ 01156,1196
UAZ 01157,838
UAZ 01158,838
UAZ 01160,838
UAZ 01231,913
UAZ 01265,847
UAZ 01283,838
UAZ 01296,838
UAZ 01303,1441
UAZ 01304,1441
UAZ 01305,1441
UAZ 01307,1441
UAZ 01337,838
UAZ 01350,1895
UAZ 01373,1979
UAZ 01374,1979
UAZ 02368,865
UAZ 02369,865
UAZ 02371,865
UAZ 02372,865
UAZ 02373,865
UAZ 02374,865
UAZ 02375,957
UAZ 02376,957
UAZ 02377,957
UAZ 02378,957
UAZ 02379,865
UAZ 02380,865
UAZ 02381,865
UAZ 02382,865
UAZ 02383,865
UAZ 02384,865
UAZ 02385,865
UAZ 02391,865
UAZ 02392,865
UAZ 02410,1804
UAZ 02411,1804
UAZ 02412,1804
UAZ 02420,1284
UAZ 02699,2403
UAZ 02853,858
UAZ 02854,858
UAZ 02920,878
UAZ 02921,855
UAZ 02922,855
UAZ 02923,855
UAZ 02942,1472
UAZ 02946,1004
UAZ 02947,1333
UAZ 02948,1333
UAZ 02949,2756
UAZ 02950,2756
UAZ 02951,2384
UAZ 03064,1194
UAZ 03075,2352
UAZ 03471,900
UAZ 03544,1847
UAZ 03767,2032
UAZ 03820,2032
UAZ 04045,1028
UAZ 04082,953
UAZ 05003,865
UAZ 05004,881
UAZ 05210,2391
UAZ 05545,1384
UAZ 05555,871
UAZ 05560,885
UAZ 05565,896
UAZ 05573,1864
UAZ 05724,2403
UAZ 05819,1253
UAZ 05834,2274
UAZ 05835,1379
UAZ 05850,871
UAZ 05851,845
UAZ 05853,845
UAZ 05861,2384
UAZ 05866,2384
UAZ 05867,2384
UAZ 05870,2384
UAZ 05899,871
UAZ 05900,845
UAZ 05901,901
UAZ 05952,1335
UAZ 06099,871
UAZ 06120,900
UAZ 06121,900
UAZ 06122,878
UAZ 06178,878
UAZ 06179,878
UAZ 06196,1385
UAZ 06237,2047
UAZ 06399,1244
UAZ 06400,1244
UAZ 06536,2403
UAZ 06570,1816
UAZ 06759,1493
UAZ 06771,900
UAZ 06774,900
UAZ 06775,900
UAZ 06789,1493
UAZ 06792,900
UAZ 06810,898
UAZ 06811,898
UAZ 06812,898
UAZ 06858,866
UAZ 06861,866
UAZ 06875,937
UAZ 06877,900
UAZ 06929,2403
UAZ 06930,2403
UAZ 06971,2395
UAZ 06972,2395
UAZ 07014,2395
UAZ 07043,2384
UAZ 07123,2395
UAZ 07602,1847
UAZ 07603,1847
UAZ 07604,1847
UAZ 07605,1847
UAZ 07742,1441
UAZ 07743,1441
UAZ 07744,1441
UAZ 07745,1441
UAZ 07746,1441
UAZ 07747,1441
UAZ 07857,1804
UAZ 07860,1333
UAZ 08141,881
UAZ 08142,881
UAZ 08143,881
UAZ 08144,881
UAZ 08145,881
UAZ 08146,881
UAZ 08147,881
UAZ 08148,881
UAZ 08149,881
UAZ 08170,881
UAZ 08195,2384
UAZ 08645,865
UAZ 08650,865
UAZ 08652,865
UAZ 08653,865
UAZ 08654,881
UAZ 08657,865
UAZ 08658,865
UAZ 08659,865
UAZ 08661,865
UAZ 08664,865
UAZ 08679,865
UAZ 08682,865
UAZ 08683,865
UAZ 09102,865
UAZ 09196,865
UAZ 09197,2300
UAZ 09198,2300
UAZ 09249,2742
UAZ 09807,2391
UAZ 09833,865
UAZ 09834,865
UAZ 10545,880
UAZ 11327,2395
UAZ 11328,2395
UAZ 11329,2395
UAZ 11330,2395
UAZ 11483,2395
UAZ 11513,2395
UAZ 11514,2395
UAZ 11515,2395
UAZ 11516,2395
UAZ 11517,2395
UAZ 11518,2395
UAZ 11519,2395
UAZ 11520,2395
UAZ 11521,2395
UAZ 11522,2395
UAZ 11523,2395
UAZ 11524,2395
UAZ 11525,2395
UAZ 11526,2395
UAZ 11539,2395
UAZ 11540,2395
UAZ 11541,2395
UAZ 11542,2395
UAZ 11694,2395
UAZ 11934,1838
UAZ 11935,2384
UAZ 11936,2384
UAZ 12079,2384
UAZ 12085,2395
UAZ 12088,1838
UAZ 12089,1838
UAZ 12464,880
UAZ 12465,901
UAZ 12467,2384
UAZ 12472,1992
UAZ 12476,2384
UAZ 12477,2384
UAZ 12478,2384
UAZ 12479,2395
UAZ 12480,2384
UAZ 12481,2384
UAZ 12550,2227
UAZ 12551,1838
UAZ 12552,1838
UAZ 12553,1838
UAZ 12554,1838
UAZ 12555,1838
UAZ 12556,1816
UAZ 12566,2395
UAZ 12873,1992
UAZ 13282,1035
UAZ 13290,1825
UAZ 13423,2395
UAZ 13603,2384
UAZ 13618,2384
UAZ 13700,2395
UAZ 13701,2384
UAZ 13959,2274
UAZ 13960,2274
UAZ 14137,1847
UAZ 14170,880
UAZ 14228,900
UAZ 14370,881
UAZ 14383,1688
UAZ 14794,2384
UAZ 14927,2395
UAZ 14928,2395
UAZ 14929,2395
UAZ 14930,2395
UAZ 14931,2395
UAZ 14932,2395
UAZ 14933,2395
UAZ 14934,2395
UAZ 14935,2384
UAZ 14936,2395
UAZ 14937,2395
UAZ 15411,2384
UAZ 15412,2384
UAZ 15413,2384
UAZ 15414,2384
UAZ 15492,1922
UAZ 15494,2032
UAZ 15495,900
UAZ 15506,900
UAZ 15507,900
UAZ 15549,2395
UAZ 15550,2395
UAZ 15551,2395
UAZ 15552,2395
UAZ 15553,2395
UAZ 15554,2395
UAZ 15555,2395
UAZ 15556,2395
UAZ 15557,2395
UAZ 15558,2395
UAZ 15559,2395
UAZ 15561,2395
UAZ 15562,2395
UAZ 15563,2395
UAZ 15564,2395
UAZ 15565,2395
UAZ 15634,2384
UAZ 15635,2395
UAZ 15636,2395
UAZ 15652,2395
UAZ 15653,2395
UAZ 15663,2384
UAZ 15664,2384
UAZ 15665,2384
UAZ 15666,2384
UAZ 15667,2424
UAZ 15668,2424
UAZ 15671,2424
UAZ 15672,900
